state_po,year,evotes
AL,2016,9
AK,2016,3
AZ,2016,11
AR,2016,6
CA,2016,55
CO,2016,9
CT,2016,7
DE,2016,3
DC,2016,3
FL,2016,29
GA,2016,16
HI,2016,4
ID,2016,4
IL,2016,20
IN,2016,11
IA,2016,6
KS,2016,6
KY,2016,8
LA,2016,8
ME,2016,4
MD,2016,10
MA,2016,11
MI,2016,16
MN,2016,10
MS,2016,6
MO,2016,10
MT,2016,3
NE,2016,5
NV,2016,6
NH,2016,4
NJ,2016,14
NM,2016,5
NY,2016,29
NC,2016,15
ND,2016,3
OH,2016,18
OK,2016,7
OR,2016,7
PA,2016,20
RI,2016,4
SC,2016,9
SD,2016,3
TN,2016,11
TX,2016,38
UT,2016,6
VT,2016,3
VA,2016,13
WA,2016,12
WV,2016,5
WI,2016,10
WY,2016,3
AL,2012,9
AK,2012,3
AZ,2012,11
AR,2012,6
CA,2012,55
CO,2012,9
CT,2012,7
DE,2012,3
DC,2012,3
FL,2012,29
GA,2012,16
HI,2012,4
ID,2012,4
IL,2012,20
IN,2012,11
IA,2012,6
KS,2012,6
KY,2012,8
LA,2012,8
ME,2012,4
MD,2012,10
MA,2012,11
MI,2012,16
MN,2012,10
MS,2012,6
MO,2012,10
MT,2012,3
NE,2012,5
NV,2012,6
NH,2012,4
NJ,2012,14
NM,2012,5
NY,2012,29
NC,2012,15
ND,2012,3
OH,2012,18
OK,2012,7
OR,2012,7
PA,2012,20
RI,2012,4
SC,2012,9
SD,2012,3
TN,2012,11
TX,2012,38
UT,2012,6
VT,2012,3
VA,2012,13
WA,2012,12
WV,2012,5
WI,2012,10
WY,2012,3
AL,2008,9
AK,2008,3
AZ,2008,10
AR,2008,6
CA,2008,55
CO,2008,9
CT,2008,7
DE,2008,3
DC,2008,3
FL,2008,27
GA,2008,15
HI,2008,4
ID,2008,4
IL,2008,21
IN,2008,11
IA,2008,7
KS,2008,6
KY,2008,8
LA,2008,9
ME,2008,4
MD,2008,10
MA,2008,12
MI,2008,17
MN,2008,10
MS,2008,6
MO,2008,11
MT,2008,3
NE,2008,5
NV,2008,5
NH,2008,4
NJ,2008,15
NM,2008,5
NY,2008,31
NC,2008,15
ND,2008,3
OH,2008,20
OK,2008,7
OR,2008,7
PA,2008,21
RI,2008,4
SC,2008,8
SD,2008,3
TN,2008,11
TX,2008,34
UT,2008,5
VT,2008,3
VA,2008,13
WA,2008,11
WV,2008,5
WI,2008,10
WY,2008,3
AL,2004,9
AK,2004,3
AZ,2004,10
AR,2004,6
CA,2004,55
CO,2004,9
CT,2004,7
DE,2004,3
DC,2004,3
FL,2004,27
GA,2004,15
HI,2004,4
ID,2004,4
IL,2004,21
IN,2004,11
IA,2004,7
KS,2004,6
KY,2004,8
LA,2004,9
ME,2004,4
MD,2004,10
MA,2004,12
MI,2004,17
MN,2004,10
MS,2004,6
MO,2004,11
MT,2004,3
NE,2004,5
NV,2004,5
NH,2004,4
NJ,2004,15
NM,2004,5
NY,2004,31
NC,2004,15
ND,2004,3
OH,2004,20
OK,2004,7
OR,2004,7
PA,2004,21
RI,2004,4
SC,2004,8
SD,2004,3
TN,2004,11
TX,2004,34
UT,2004,5
VT,2004,3
VA,2004,13
WA,2004,11
WV,2004,5
WI,2004,10
WY,2004,3
AL,2000,9
AK,2000,3
AZ,2000,8
AR,2000,6
CA,2000,54
CO,2000,8
CT,2000,8
DE,2000,3
DC,2000,3
FL,2000,25
GA,2000,13
HI,2000,4
ID,2000,4
IL,2000,22
IN,2000,12
IA,2000,7
KS,2000,6
KY,2000,8
LA,2000,9
